"HID"	"X"	"Y"
43446	-3.262046	9.373791
43447	-2.873417	10.181105
43448	-2.481052	10.990451
43449	-2.083766	11.802463
43450	-1.679955	12.617978
43451	-1.267383	13.438115
43523	-4.788597	5.615846
43524	-4.408095	6.417805
43525	-4.026898	7.220111
43526	-3.64459	8.022977
43527	-3.260682	8.826658
43528	-2.874586	9.631473
43529	-2.485572	10.437819
43530	-2.092715	11.246202
43531	-1.694795	12.057279
43532	-1.290151	12.871918
43533	-0.876442	13.691292
43603	-4.781637	5.076761
43604	-4.401517	5.877659
43605	-4.020992	6.678707
43606	-3.639697	7.480083
43607	-3.257218	8.281996
43608	-2.873062	9.084707
43609	-2.486638	9.888536
43610	-2.097207	10.693889
43611	-1.703826	11.501285
43612	-1.305242	12.311401
43613	-0.899734	13.12514
43685	-4.394237	5.338945
43686	-4.014124	6.138941
43687	-3.633531	6.939065
43688	-3.252097	7.739492
43689	-2.869405	8.540435
43690	-2.484964	9.342154
43691	-2.098176	10.144976
43692	-1.708296	10.949313
43693	-1.314361	11.755695
43694	-0.915084	12.564824
43695	-0.508681	13.377638
43767	-4.006543	5.600614
43768	-3.626391	6.399694
43769	-3.245687	7.198877
43770	-2.864071	7.998338
43771	-2.481126	8.798291
43772	-2.096361	9.598999
43773	-1.709174	10.40079
43774	-1.318812	11.204085
43775	-0.924294	12.009428
43776	-0.524297	12.817541
43777	-0.116971	13.629404
43847	-3.998454	5.063548
43848	-3.618526	5.861765
43849	-3.23829	6.659914
43850	-2.857431	7.458141
43851	-2.47559	8.25662
43852	-2.092353	9.055565
43853	-1.707226	9.855239
43854	-1.319605	10.655976
43855	-0.92873	11.458203
43856	-0.5336	12.262478
43857	-0.132858	13.069547
43929	-3.610145	5.3251
43930	-3.230159	6.122399
43931	-2.849794	6.919603
43932	-2.468736	7.716858
43933	-2.086628	8.514337
43934	-1.703056	9.312253
43935	-1.31753	10.110873
43936	-0.929441	10.910532
43937	-0.538021	11.711664
43938	-0.142252	12.514841
43939	0.259258	13.320835
44011	-3.221504	5.586148
44012	-2.841415	6.382515
44013	-2.460875	7.17876
44014	-2.079572	7.975027
44015	-1.697154	8.771489
44016	-1.313209	9.568358
44017	-0.927245	10.3659
44018	-0.538654	11.164455
44019	-0.146659	11.964465
44020	0.249774	12.766515
44021	0.652077	13.571402
44091	-3.212505	5.051002
44092	-2.832506	5.846692
44093	-2.452264	6.642114
44094	-2.071503	7.437387
44095	-1.689912	8.23265
44096	-1.307141	9.028076
44097	-0.922782	9.823877
44098	-0.536342	10.62032
44099	-0.147215	11.417746
44100	0.245385	12.216604
44101	0.642507	13.017494
44102	1.045622	13.82124
44173	-2.823246	5.311972
44174	-2.44312	6.106733
44175	-2.06268	6.901198
44176	-1.681651	7.695483
44177	-1.299726	8.489727
44178	-0.916559	9.2841
44179	-0.531744	10.078813
44180	-0.144792	10.874133
44181	0.244907	11.670404
44182	0.63814	12.468081
44183	1.035975	13.267777
44254	-2.813787	4.778211
44255	-2.433621	5.572452
44256	-2.053319	6.366272
44257	-1.672633	7.159767
44258	-1.291288	7.953051
44259	-0.908985	8.74626
44260	-0.525378	9.539562
44261	-0.140066	10.333167
44262	0.247437	11.12734
44263	0.63774	11.922429
44264	1.031636	12.718893
44265	1.430205	13.51736
44335	-2.423918	5.039125
44336	-2.043601	5.832443
44337	-1.663075	6.625311
44338	-1.282093	7.417825
